Category,Desc,Food ID,Carbs,Cholesterol,Calories,Protein,Sugar ,Saturated Fat,Calcium,Iron,Vitamin B6,Vitamin C
BUTTER,"BUTTER,WITH SALT",1001,0.06,215,717,0.85,0.059999999,51.368,24,0.02,0.003,0
BUTTER,"BUTTER,WHIPPED,WITH SALT",1002,0.06,219,717,0.85,0.059999999,50.489,24,0.16,0.003,0
BUTTER OIL,"BUTTER OIL,ANHYDROUS",1003,0,256,876,0.28,0,61.924,4,0,0.001,0
CHEESE,"CHEESE,BLUE",1004,2.34,75,353,21.4,0.5,18.669,528,0.31,0.166,0
CHEESE,"CHEESE,BRICK",1005,2.79,94,371,23.24,0.50999999,18.764,674,0.43,0.065,0
CHEESE,"CHEESE,BRIE",1006,0.45,100,334,20.75,0.449999988,17.41,184,0.5,0.235,0
CHEESE,"CHEESE,CAMEMBERT",1007,0.46,72,300,19.8,0.460000008,15.259,388,0.33,0.227,0
CHEESE,"CHEESE,CARAWAY",1008,3.06,93,376,25.18,0,18.584,673,0.64,0.074,0
CHEESE,"CHEESE,CHEDDAR",1009,1.28,105,403,24.9,0.519999981,21.092,721,0.68,0.074,0
CHEESE,"CHEESE,CHESHIRE",1010,4.78,103,387,23.37,0,19.475,643,0.21,0.074,0
CHEESE,"CHEESE,COLBY",1011,2.57,95,394,23.76,0.519999981,20.218,685,0.76,0.079,0
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",1012,3.38,17,98,11.12,2.670000076,1.718,83,0.07,0.046,0
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",1013,4.61,13,97,10.69,2.380000114,2.311,53,0.16,0.068,1.4
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",1014,6.66,7,72,10.34,1.850000024,0.169,86,0.15,0.016,0
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",1015,3.66,10,86,11.83,3.670000076,0.979,91,0.15,0.022,0
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",1016,2.72,4,72,12.39,2.720000029,0.645,61,0.14,0.068,0
CHEESE,"CHEESE,CREAM",1017,4.07,110,342,5.93,3.210000038,19.292,98,0.38,0.035,0
CHEESE,"CHEESE,EDAM",1018,1.43,89,357,24.99,1.429999948,17.572,731,0.44,0.076,0
CHEESE,"CHEESE,FETA",1019,4.09,89,264,14.21,4.090000153,14.946,493,0.65,0.424,0
CHEESE,"CHEESE,FONTINA",1020,1.55,116,389,25.6,1.549999952,19.196,550,0.23,0.083,0
CHEESE,"CHEESE,GJETOST",1021,42.65,94,466,9.65,0,19.16,400,0.52,0.271,0
CHEESE,"CHEESE,GOUDA",1022,2.22,114,356,24.94,2.220000029,17.614,700,0.24,0.08,0
CHEESE,"CHEESE,GRUYERE",1023,0.36,110,413,29.81,0.360000014,18.913,1011,0.17,0.081,0
CHEESE,"CHEESE,LIMBURGER",1024,0.49,90,327,20.05,0.49000001,16.746,497,0.13,0.086,0
CHEESE,"CHEESE,MONTEREY",1025,0.68,89,373,24.48,0.5,19.066,746,0.72,0.079,0
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",1026,2.19,79,300,22.17,1.029999971,13.152,505,0.44,0.037,0
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",1027,2.47,89,318,21.6,1.00999999,15.561,575,0.2,0.062,0
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",1028,2.77,64,254,24.26,1.129999995,10.114,782,0.22,0.07,0
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",1029,3.83,54,302,25.96,0.600000024,12.67,731,0.25,0.079,0
CHEESE,"CHEESE,MUENSTER",1030,1.12,96,368,23.41,1.120000005,19.113,717,0.41,0.056,0
CHEESE,"CHEESE,NEUFCHATEL",1031,3.59,74,253,9.15,3.190000057,12.79,117,0.13,0.041,0
CHEESE,"CHEESE,PARMESAN,GRATED",1032,4.06,88,431,38.46,0.899999976,17.301,1109,0.9,0.049,0
CHEESE,"CHEESE,PARMESAN,HARD",1033,3.22,68,392,35.75,0.800000012,16.41,1184,0.82,0.091,0
CHEESE,"CHEESE,PORT DE SALUT",1034,0.57,123,352,23.78,0.569999993,16.691,650,0.43,0.053,0
CHEESE,"CHEESE,PROVOLONE",1035,2.14,69,351,25.58,0.560000002,17.078,756,0.52,0.073,0
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",1036,3.04,51,174,11.26,0.270000011,8.295,207,0.38,0.043,0
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",1037,5.14,31,138,11.39,0.310000002,4.927,272,0.44,0.02,0
CHEESE,"CHEESE,ROMANO",1038,3.63,104,387,31.8,0.730000019,17.115,1064,0.77,0.085,0
CHEESE,"CHEESE,ROQUEFORT",1039,2,90,369,21.54,0,19.263,662,0.56,0.124,0
CHEESE,"CHEESE,SWISS",1040,5.38,92,380,26.93,1.320000052,17.779,791,0.2,0.083,0
CHEESE,"CHEESE,TILSIT",1041,1.88,102,340,24.41,0,16.775,700,0.23,0.065,0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1042,1.6,94,375,22.15,0.50999999,19.694,552,0.19,0.071,0
CHEESE,"CHEESE,PAST PROCESS,PIMENTO",1043,1.73,94,375,22.13,0.629999995,19.663,614,0.42,0.071,2.3
CHEESE,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",1044,2.1,85,334,24.73,1.230000019,16.045,772,0.61,0.036,0
CHEESE FD,"CHEESE FD,COLD PK,AMERICAN",1045,8.32,64,331,19.66,0,15.355,497,0.84,0.141,0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",1046,7.83,80,330,18.4,7.429999828,14.895,570,0.57,0.073,0
CHEESE FD,"CHEESE FD,PAST PROCESS,SWISS",1047,4.5,82,323,21.92,0,15.487,723,0.6,0.035,0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",1048,8.73,55,290,16.41,7.320000172,13.327,562,0.33,0.117,0
CREAM,"CREAM,FLUID,HALF AND HALF",1049,4.3,37,130,2.96,0.159999996,7.158,105,0.07,0.039,0.9
CREAM,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",1050,3.66,66,195,2.7,0.140000001,12.02,96,0.04,0.032,0.8
CREAM,"CREAM,FLUID,LT WHIPPING",1052,2.96,111,292,2.17,0.109999999,19.337,69,0.03,0.028,0.6
CREAM,"CREAM,FLUID,HVY WHIPPING",1053,2.79,137,345,2.05,0.109999999,23.032,65,0.03,0.026,0.6
CREAM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",1054,12.49,76,257,3.2,8,13.831,101,0.05,0.041,0
CREAM,"CREAM,SOUR,RED FAT,CULTURED",1055,4.26,39,135,2.94,0.159999996,7.47,104,0.07,0.016,0.9
CREAM,"CREAM,SOUR,CULTURED",1056,2.88,52,193,2.07,3.5,11.507,110,0.17,0.057,0.9
No Category,EGGNOG,1057,13.54,59,135,3.81,8.409999847,4.443,130,0.2,0.05,1.5
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",1058,4.68,5,178,3.25,4.679999828,13.272,113,0.03,0.017,0.9
MILK,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",1059,4.74,2,63,3.33,0,0.768,128,0.05,0.04,0.9
MILK,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",1060,4.74,2,63,3.33,4.739999771,3.101,128,0.05,0.04,0.9
CREAM SUB,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",1067,11.38,0,136,1,11.38000011,1.937,9,0.03,0,0
CREAM SUB,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",1068,11.38,0,136,1,0,9.304,9,0.03,0,0
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",1069,54.88,0,545,4.79,54.88000107,32.525,22,1.15,0,0
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",1070,52.54,0,577,4.9,52.54000092,36.723,17,0.03,0,0
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",1071,16.53,10,188,3.6,16.53000069,10.684,90,0.04,0.03,0.7
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",1072,16.07,0,264,0.98,16.06999969,18.912,5,0.02,0,0
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",1073,23.05,0,318,1.25,23.04999924,21.783,6,0.12,0,0
SOUR CRM,"SOUR CRM,IMITN,CULTURED",1074,6.63,0,208,2.4,6.630000114,17.791,3,0.39,0,0
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",1075,6.16,0,61,1.75,6.159999847,0.767,33,0.39,0,0
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",1076,6.16,0,61,1.75,0,3.037,33,0.39,0,0
